
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           0.00000000E+00   3.00000000E+02  -4.12140461E-03
           9.99999975E-06   3.00000031E+02   6.60146487E+12
           1.99999995E-05   3.00000031E+02   6.66984356E+12
           2.99999992E-05   3.00000061E+02   6.73790820E+12
           4.99999987E-05   3.00000122E+02   6.87280384E+12
           9.00000014E-05   3.00000183E+02   7.13785344E+12
           1.43874597E-04   3.00000305E+02   7.48666749E+12
           1.97749177E-04   3.00000427E+02   7.82771526E+12
           2.51623773E-04   3.00000549E+02   8.16137477E+12
           3.24728608E-04   3.00000702E+02   8.60138819E+12
           3.97833443E-04   3.00000854E+02   9.02945781E+12
           4.70938277E-04   3.00001007E+02   9.44631395E+12
           5.85824600E-04   3.00001282E+02   1.00762156E+13
           7.00710982E-04   3.00001526E+02   1.06831335E+13
           8.15597305E-04   3.00001770E+02   1.12690253E+13
           9.39066696E-04   3.00002045E+02   1.18765377E+13
           1.06253603E-03   3.00002319E+02   1.24637843E+13
           1.15545117E-03   3.00002502E+02   1.28949651E+13
           1.24836632E-03   3.00002716E+02   1.33160680E+13
           1.32328703E-03   3.00002869E+02   1.36493903E+13
           1.39820774E-03   3.00003021E+02   1.39767851E+13
           1.47312833E-03   3.00003204E+02   1.42985323E+13
           1.53364451E-03   3.00003326E+02   1.45548735E+13
           1.59416057E-03   3.00003448E+02   1.48078026E+13
           1.65467674E-03   3.00003601E+02   1.50574423E+13
           1.71519280E-03   3.00003723E+02   1.53039111E+13
           1.76589377E-03   3.00003845E+02   1.55082451E+13
           1.81659462E-03   3.00003937E+02   1.57104829E+13
           1.86729559E-03   3.00004059E+02   1.59106843E+13
           1.91799656E-03   3.00004150E+02   1.61089071E+13
           1.96869741E-03   3.00004272E+02   1.63052069E+13
           2.01939838E-03   3.00004395E+02   1.64996349E+13
           2.06202385E-03   3.00004486E+02   1.66618034E+13
           2.10464932E-03   3.00004578E+02   1.68227095E+13
           2.14727479E-03   3.00004669E+02   1.69823814E+13
           2.18990026E-03   3.00004761E+02   1.71408464E+13
           2.23252573E-03   3.00004852E+02   1.72981297E+13
           2.27515097E-03   3.00004944E+02   1.74542564E+13
           2.31777644E-03   3.00005035E+02   1.76092527E+13
           2.36040191E-03   3.00005127E+02   1.77631417E+13
           2.40302738E-03   3.00005219E+02   1.79159444E+13
