
                           FV1 E: 1 IP: 1   SOH  on section
                           ELSET CENTRALEL   SURFACE SSET S
                        X         -1            URFACE-1   

           0.00000000E+00   2.94149994E+02   3.77944118E-04
           9.99999975E-06   2.94150024E+02   3.08894525E+12
           1.99999995E-05   2.94150055E+02   3.11251776E+12
           2.99999992E-05   2.94150055E+02   3.13601399E+12
           4.99999987E-05   2.94150085E+02   3.18270551E+12
           9.00000014E-05   2.94150177E+02   3.27491833E+12
           1.69999999E-04   2.94150330E+02   3.45491741E+12
           2.50000012E-04   2.94150513E+02   3.63074237E+12
           3.57824203E-04   2.94150726E+02   3.86064476E+12
           4.65648423E-04   2.94150940E+02   4.08396471E+12
           5.73472644E-04   2.94151154E+02   4.30113921E+12
           7.44353631E-04   2.94151489E+02   4.63402854E+12
           9.15234617E-04   2.94151825E+02   4.95191589E+12
           1.08611560E-03   2.94152161E+02   5.25836799E+12
           1.30875316E-03   2.94152618E+02   5.64039097E+12
           1.49661268E-03   2.94152985E+02   5.95163611E+12
           1.65174739E-03   2.94153290E+02   6.20168217E+12
           1.80688221E-03   2.94153625E+02   6.44525693E+12
           1.92676496E-03   2.94153839E+02   6.62754243E+12
           2.04664771E-03   2.94154083E+02   6.80850935E+12
           2.16653058E-03   2.94154327E+02   6.98622620E+12
           2.26248708E-03   2.94154510E+02   7.12648425E+12
           2.35844357E-03   2.94154724E+02   7.26483704E+12
           2.45440030E-03   2.94154907E+02   7.40136006E+12
           2.55035679E-03   2.94155090E+02   7.53612777E+12
           2.63073505E-03   2.94155273E+02   7.64782733E+12
           2.71111331E-03   2.94155426E+02   7.75837817E+12
           2.79149157E-03   2.94155579E+02   7.86781543E+12
           2.87187006E-03   2.94155731E+02   7.97617580E+12
           2.95224832E-03   2.94155914E+02   8.08349231E+12
           3.03262658E-03   2.94156067E+02   8.18979799E+12
           3.10031674E-03   2.94156189E+02   8.27862444E+12
           3.16800689E-03   2.94156342E+02   8.36677193E+12
           3.23569705E-03   2.94156464E+02   8.45425620E+12
           3.30338744E-03   2.94156616E+02   8.54109349E+12
           3.37107759E-03   2.94156738E+02   8.62729955E+12
           3.43876774E-03   2.94156891E+02   8.71289009E+12
           3.50645790E-03   2.94157013E+02   8.79787980E+12
           3.57414805E-03   2.94157135E+02   8.88228282E+12
           3.64183821E-03   2.94157288E+02   8.96611228E+12
           3.70952860E-03   2.94157410E+02   9.04938285E+12
